Area of The Plot (In Squarefeet),Area of The Plot (In Squarefeet),Age Of The House,Number of Bedrooms,Area Population,Price (In Rupees)
247.8517191,"67,477.788",7,5,29764,1300265.21
261.5345842,"71,202.957",4,4,34207,997448.7281
315.317235,"85,845.318",7,3,46478,2152959.409
264.9722752,"72,138.870",7,5,35800,1629983.847
164.5763103,"44,806.005",4,3,57391,497579.4466
247.9486528,"67,504.178",5,4,37441,890112.5493
274.401932,"74,706.101",5,2,39681,1064685.699
253.0695498,"68,898.346",7,6,39516,1530124.016
213.4724789,"58,118.018",8,4,35598,1246246.828
285.1904561,"77,643.283",6,4,35512,1240754.932
248.9243976,"67,769.826",8,4,33255,1760734.69
273.3182223,"74,411.060",6,6,43538,1393746.76
268.5065491,"73,101.079",4,4,29498,1172385.898
215.6410652,"58,708.417",5,4,15970,483986.109
234.6222614,"63,876.060",7,3,38053,1388530.157
251.0302825,"68,343.154",6,6,40654,1721739.384
268.373955,"73,064.980",6,6,30699,1276448.792
247.4457692,"67,367.268",7,2,32547,1161742.677
244.4335216,"66,547.182",6,2,16742,786407.9451
269.2869571,"73,313.545",6,4,37809,1604920.973
175.1377422,"47,681.362",7,5,50909,1230149.137
249.4427565,"67,910.949",6,4,31380,1051644.554
254.4636525,"69,277.891",6,5,43718,1415073.614
249.5741264,"67,946.715",5,3,35198,1043483.915
334.1594149,"90,975.113",5,6,44426,1544379.748
227.3109342,"61,885.546",5,3,48727,1352135.967
254.9189534,"69,401.847",7,3,29293,1505727.431
268.0218578,"72,969.121",6,4,31756,1416965.979
277.6208748,"75,582.460",6,4,31946,1046721.976
206.5788627,"56,241.227",6,2,32745,939040.0036
291.6901742,"79,412.835",6,3,17569,1383031.332
292.4446311,"79,618.237",5,3,29637,1072503.238
246.1668226,"67,019.074",6,6,24997,1134397.758
205.9259867,"56,063.481",5,4,39129,734827.508
209.6508611,"57,077.580",6,4,33394,991892.3175
278.9885795,"75,954.818",4,5,34468,1057252.583
193.1154906,"52,575.815",7,4,41829,1237224.859
232.5533801,"63,312.806",6,4,43230,1442632.541
303.1286291,"82,526.962",6,4,43948,1877402.32
268.8880481,"73,204.942",7,6,35091,1394518.415
207.0048171,"56,357.193",6,3,38062,953939.3299
261.9520956,"71,316.625",7,5,21652,1219778.034
275.6535275,"75,046.848",5,3,32468,1287325.382
310.2808547,"84,474.160",7,2,38678,1739893.555
250.3674001,"68,162.684",7,3,31844,1213382.223
230.6122544,"62,784.333",8,3,35122,1007478.748
246.1328158,"67,009.816",7,3,39737,1528756.126
247.7028202,"67,437.250",7,2,29356,1182459.772
242.3052899,"65,967.769",7,3,35800,1474546.762
157.2679737,"42,816.306",8,4,47458,1078016.94
306.1431587,"83,347.670",5,3,48227,1453381.624
300.0906854,"81,699.880",5,4,39527,1495012.965
206.2209641,"56,143.789",5,4,45084,714148.4148
218.5994339,"59,513.835",5,3,44162,894292.0474
287.8943218,"78,379.412",6,3,31357,1159841.831
260.3386965,"70,877.376",7,5,36033,1195986.299
225.9938685,"61,526.974",7,6,27308,1381430.63
239.9149436,"65,316.996",7,2,55799,1534889.853
280.1419288,"76,268.818",7,3,38650,1494125.33
178.2598745,"48,531.364",7,5,39731,1356146.261
304.5232731,"82,906.655",6,4,38820,1454943.074
231.8372693,"63,117.844",5,2,43092,774118.1878
278.643467,"75,860.861",4,3,41004,889113.2389
252.8727397,"68,844.764",5,3,48392,1211102.211
192.6396486,"52,446.267",6,3,32935,658646.1847
254.7017257,"69,342.707",6,3,37082,1400104.871
205.4432397,"55,932.053",7,4,42488,1262017.792
195.8009094,"53,306.922",5,2,39063,553077.2126
209.2797549,"56,976.546",6,3,46376,1203247.89
188.4164142,"51,296.489",6,6,32079,1115323.015
235.0591565,"63,995.005",8,5,24748,1301881.417
264.1505185,"71,915.147",6,4,27714,1006687.387
228.2367384,"62,137.597",5,5,19046,749383.0726
286.6879246,"78,050.970",5,4,27790,1075596.587
247.4610228,"67,371.421",5,4,24798,739870.7936
218.0445461,"59,362.766",7,3,44723,1442945.145
209.377324,"57,003.110",7,3,29595,828497.0671
253.4036768,"68,989.312",6,6,32630,1373290.861
260.6785538,"70,969.902",5,3,24834,925566.3313
302.1173951,"82,251.653",8,6,18409,1552536.764
261.91475,"71,306.457",6,2,43284,1335904.501
260.5010206,"70,921.569",6,3,29390,960808.2911
259.8321205,"70,739.460",7,6,35149,1405933.019
213.3983694,"58,097.842",6,3,19903,619087.6936
188.3320075,"51,273.509",7,2,53812,1329273.228
280.3541377,"76,326.592",5,3,42780,1261843.844
233.5496687,"63,584.046",6,4,46340,1175781.418
317.1353005,"86,340.287",5,3,35631,1437053.557
291.9046947,"79,471.239",6,6,36616,1594415.226
205.2502231,"55,879.504",6,2,37360,931357.9954
148.7729906,"40,503.541",7,3,45979,798639.6542
306.3148319,"83,394.408",6,2,30488,1451739.625
236.9185519,"64,501.226",6,5,43869,1278991.689
218.8040336,"59,569.537",6,4,31295,885920.5532
254.4725598,"69,280.316",7,4,40291,1425632.542
243.68167,"66,342.490",6,3,11793,901881.7427
269.4834695,"73,367.046",6,5,23685,1521730.791
209.8148443,"57,122.225",6,2,41973,716771.0057
227.6536391,"61,978.848",8,5,56957,1696717.107
199.4484553,"54,299.969",7,2,39513,819598.0078
262.3479858,"71,424.406",6,3,37243,1584213.957
210.6630683,"57,353.154",8,4,16906,798892.515
164.3012132,"44,731.110",4,5,39633,601973.0017
279.7991403,"76,175.494",5,4,30761,1456486.293
244.5346352,"66,574.710",6,2,69575,1702406.039
336.9364189,"91,731.154",5,6,33102,1566471.008
277.2703626,"75,487.033",6,4,41105,1592210.176
213.3638289,"58,088.438",6,4,51925,937628.3467
280.3270534,"76,319.219",7,3,48026,1558547.578
222.4977811,"60,575.162",6,2,32159,1156329.274
255.6729882,"69,607.134",7,3,34609,1514349.692
246.305542,"67,056.840",5,5,25135,1039107.326
222.7393579,"60,640.932",5,2,43120,809089.6719
253.5601381,"69,031.909",6,3,15660,675536.3915
295.1552677,"80,356.209",5,5,16215,1373589.804
220.6833287,"60,081.177",7,4,60196,1690091.019
227.2959953,"61,881.479",7,5,35597,1253370.149
218.8827403,"59,590.965",7,2,24154,774073.5619
329.9581612,"89,831.319",5,6,45335,1741959.834
265.1060234,"72,175.284",7,2,50306,1705762.788
248.260389,"67,589.049",6,2,33203,1071109.917
283.9296633,"77,300.031",5,4,29499,1118047.991
240.1569717,"65,382.888",5,6,41723,1165253.033
261.3224847,"71,145.213",6,2,35643,1280910.19
224.2530591,"61,053.038",6,2,40676,841122.8824
239.2132074,"65,125.948",6,4,37643,1228810.745
190.8142307,"51,949.296",6,5,35336,1086072.071
278.7798402,"75,897.989",5,3,34163,1204372.295
262.5093977,"71,468.351",6,3,43269,1345004.12
195.7313776,"53,287.992",6,3,45152,1116902.345
225.9059574,"61,503.041",5,3,37651,822431.7303
253.0611114,"68,896.049",6,4,28395,1360623.694
334.8363832,"91,159.418",7,3,54861,2298379.487
232.7831052,"63,375.348",7,3,45633,1400498.268
219.2669678,"59,695.571",5,2,20703,566848.7321
232.0798608,"63,183.890",6,5,58691,1367586.278
224.7113506,"61,177.808",7,5,26396,1113373.52
215.3982523,"58,642.311",5,3,35132,721974.5515
195.085965,"53,112.278",5,4,40367,685503.9903
148.2700532,"40,366.616",5,5,16349,152071.8747
228.4934085,"62,207.476",7,5,34318,1280431.574
211.1214562,"57,477.951",5,6,23650,568703.1838
204.3355702,"55,630.489",6,6,38943,1200764.844
265.9288757,"72,399.306",7,6,41662,1607161.637
330.0961688,"89,868.892",5,5,30102,1421715.415
219.6560195,"59,801.491",4,2,33535,311111.2006
227.5739561,"61,957.154",8,4,38448,1338044.383
261.2424854,"71,123.433",7,3,44020,1417870.983
202.7642846,"55,202.705",4,3,28425,796389.438
291.2688218,"79,298.122",7,3,15753,1310207.133
239.0097887,"65,070.567",7,4,24853,994897.7278
251.5879615,"68,494.983",7,5,13999,1202987.829
204.5989908,"55,702.205",6,3,40088,768751.9005
210.2239661,"57,233.608",8,2,37375,1211655.305
313.3652383,"85,313.885",6,4,23974,1540418.222
221.2103251,"60,224.652",5,3,42183,712228.4243
271.344891,"73,873.819",7,3,33336,1525533.407
231.9534901,"63,149.485",7,2,37579,1034218.402
215.2200446,"58,593.794",5,2,39288,874103.6606
271.2202016,"73,839.872",6,4,47603,1912825.285
279.0988194,"75,984.831",7,4,42249,1754770.59
301.7270064,"82,145.369",7,4,25736,1340066.913
253.5060479,"69,017.183",6,3,55831,1446756.863
277.0578613,"75,429.179",7,5,36769,1592768.242
255.3292066,"69,513.539",4,6,14054,660364.9813
212.2397872,"57,782.417",5,2,33427,861321.5807
273.1752605,"74,372.138",7,6,34322,1648246.774
233.3222168,"63,522.122",6,2,31996,977135.8857
224.7697772,"61,193.715",8,3,33196,1591934.19
221.5487596,"60,316.791",4,4,33832,695386.331
214.7650159,"58,469.912",5,2,33548,568977.0728
276.1422492,"75,179.903",5,5,23978,935590.8043
206.3795482,"56,186.963",4,5,41856,984311.7745
268.9619659,"73,225.066",6,2,61831,1796245.808
273.0532746,"74,338.928",5,4,18057,720080.2321
191.6914483,"52,188.119",6,4,42496,783808.4025
306.0088495,"83,311.104",7,3,30386,1598615.974
265.5225208,"72,288.675",7,5,39147,1564125.238
201.5283287,"54,866.216",7,3,35193,929480.6299
315.0025983,"85,759.658",5,6,25898,1414495.343
218.3772383,"59,453.342",6,6,29698,837668.1026
256.6707472,"69,878.774",7,4,26814,1197515.454
217.6057271,"59,243.298",7,4,51405,1232004.83
212.5002572,"57,853.330",7,4,47688,1285933.408
244.786626,"66,643.315",6,4,30971,1361521.983
254.3549597,"69,248.300",6,2,35990,1090826.374
275.957927,"75,129.721",6,3,41620,1475319.699
279.9258668,"76,209.995",7,4,22722,1066659.383
254.7005126,"69,342.377",6,3,21642,1117432.98
285.1451743,"77,630.955",7,2,31740,1420283.559
253.1827255,"68,929.158",8,3,173,840272.8649
260.7553316,"70,990.805",6,2,30904,1024907.94
205.1810847,"55,860.681",8,5,40335,1494241.226
207.0922192,"56,380.988",6,4,43994,1125880.487
236.2027128,"64,306.339",5,4,30762,1082455.018
281.1672281,"76,547.957",7,3,40565,1554634.995
209.7395175,"57,101.717",5,6,41104,1011365.365
279.8621782,"76,192.656",7,6,21246,1432756.517
292.3245777,"79,585.552",6,4,31773,1612717.553
259.9070357,"70,759.856",6,4,25982,973299.8618
282.4868998,"76,907.238",5,4,21658,679228.9927
237.8137416,"64,744.942",6,6,28880,1270999.939
190.9124058,"51,976.024",5,4,36360,910211.0189
224.9862059,"61,252.638",5,4,40890,1026271.796
216.1285783,"58,841.143",8,4,39555,1496729.536
290.5875356,"79,112.641",6,5,33772,1490539.058
279.3612907,"76,056.289",6,5,28471,1491838.494
192.4684143,"52,399.648",7,3,18092,996771.2482
284.8537983,"77,551.628",6,2,35834,1064854.309
235.6681948,"64,160.816",6,4,32339,985749.7874
261.4026368,"71,167.034",7,4,35175,1952622.402
312.0788426,"84,963.663",7,3,40447,1754969.162
219.3303316,"59,712.822",6,3,42602,1122240.364
285.5226798,"77,733.731",6,3,32075,1236931.728
314.8094711,"85,707.079",4,4,10424,966084.4204
258.1458113,"70,280.361",5,4,39663,852268.6717
254.6577749,"69,330.741",7,2,30098,1280669.873
268.0937941,"72,988.706",6,3,50567,1190213.513
241.3137453,"65,697.821",6,4,28742,1123851.141
280.0552445,"76,245.218",8,3,32016,1689120.427
196.6822664,"53,546.872",7,3,45504,1573347.788
270.4972828,"73,643.057",7,3,43152,1696977.663
311.3838499,"84,774.451",7,2,32384,1414286.724
213.5566739,"58,140.940",5,2,49338,755292.1144
227.2948361,"61,881.164",6,2,21397,714706.4289
276.628406,"75,312.260",5,4,9488,944001.5583
298.7277035,"81,328.807",6,3,31232,1523136.485
286.2490151,"77,931.476",7,3,23183,1422916.811
310.7526145,"84,602.597",7,6,39683,1945618.658
266.0968376,"72,445.033",5,2,69554,1726719.067
211.1918964,"57,497.128",7,5,43204,1051123.833
320.5367726,"87,266.340",8,5,45161,2249122.541
229.3178778,"62,431.938",7,4,44116,1523915.145
264.8567845,"72,107.428",5,3,29981,1039517.534
204.1393642,"55,577.072",7,3,19560,818057.8953
228.9357164,"62,327.894",5,4,43364,1115466.585
271.5554451,"73,931.143",6,2,29569,1258178.804
232.9811809,"63,429.275",6,3,37999,1435423.708
269.69231,"73,423.903",6,3,34712,1153470.44
276.1274471,"75,175.873",9,2,22367,1425603.495
208.0298028,"56,636.246",6,5,28139,1048350.692
248.5428155,"67,665.940",6,3,24758,1214482.379
242.3752572,"65,986.818",5,2,24057,821859.0657
199.3527569,"54,273.915",6,4,24233,753652.2718
277.4937194,"75,547.842",4,6,40043,1220001.334
257.6709741,"70,151.087",7,5,15255,1075675.108
273.4580268,"74,449.122",6,3,24838,1396082.352
245.801594,"66,919.640",8,6,18868,1137801.933
251.510388,"68,473.863",6,2,43147,1159953.593
279.570393,"76,113.217",6,5,26482,1487849.876
224.8376582,"61,212.195",6,4,32046,1103072.439
219.5359643,"59,768.806",6,3,26203,897291.1153
289.613782,"78,847.536",6,3,20654,1214320.574
278.1824277,"75,735.343",6,5,37268,1364363.375
285.9400076,"77,847.349",5,3,30232,1249092.928
206.5418932,"56,231.162",5,2,52657,946479.2349
327.5051984,"89,163.499",5,2,44016,1659805.184
229.1163222,"62,377.064",6,4,39076,1285399.565
252.9444312,"68,864.282",6,4,29802,898281.9025
302.8125,"82,440.896",6,5,27546,1483848.169
223.8704811,"60,948.881",7,2,39754,1353488.416
256.1228391,"69,729.606",6,5,31720,1268703.811
277.2878737,"75,491.800",6,6,26014,1448573.845
296.2272811,"80,648.066",6,3,35092,1343605.8
308.673654,"84,036.599",8,4,32767,1511537.745
281.3230404,"76,590.377",6,3,40643,1662038.759
233.3675207,"63,534.456",6,3,38129,1166673.195
247.0884788,"67,269.996",6,6,41780,1375633.373
186.9139437,"50,887.440",4,4,47731,839638.461
296.040123,"80,597.112",6,3,34488,1638265.395
242.5747264,"66,041.124",6,5,40164,1385400.456
298.682058,"81,316.380",4,3,35590,1153233.241
249.3181654,"67,877.029",5,5,43301,1370178.474
254.5704187,"69,306.958",6,2,36851,1181877.183
224.7955305,"61,200.726",5,4,42790,894251.0686
259.3902735,"70,619.167",6,5,37866,1421135.815
256.7885713,"69,910.852",6,4,38441,1028964.474
238.3436831,"64,889.219",4,3,25905,923508.1257
256.7492034,"69,900.134",6,6,32679,1599634.465
290.3392291,"79,045.040",6,5,24722,1369186.07
280.8449661,"76,460.221",7,4,46851,1748782.809
214.169299,"58,307.728",6,4,25509,1150877.735
208.1869002,"56,679.016",5,5,40785,1110598.755
216.0621221,"58,823.050",6,4,38683,1159207.085
296.9188466,"80,836.345",6,3,49864,1811377.221
248.705068,"67,710.113",6,4,25222,1267443.398
257.2175703,"70,027.647",7,3,40513,1352547.693
132.6000363,"36,100.444",6,2,44902,599504.0193
246.8956073,"67,217.486",5,4,24000,717213.2688
233.8186479,"63,657.276",6,3,36392,1008712.575
262.5091082,"71,468.272",5,3,36378,1071596.112
231.3658925,"62,989.511",7,4,36913,1397341.856
254.6449885,"69,327.260",6,6,31055,1313304.588
348.5840789,"94,902.237",6,3,41662,2106510.863
292.3012627,"79,579.205",5,3,31756,1306458.906
270.9125667,"73,756.119",5,3,59485,1354928.95
241.9606446,"65,873.939",7,4,39786,1582765.592
194.432735,"52,934.436",6,3,46521,847155.0413
304.2438935,"82,830.594",6,4,32027,1342245.969
271.5543332,"73,930.840",5,4,42702,1363086.905
215.0853791,"58,557.131",5,6,54167,1275318.562
189.9659643,"51,718.355",8,3,49639,1285923.734
256.4097714,"69,807.723",7,3,51453,1789607.526
292.4791278,"79,627.629",5,2,31639,1196064.33
356.7020545,"97,112.361",6,3,51470,1917583.999
273.1094819,"74,354.230",7,4,30091,1370274.387
266.2290426,"72,481.026",6,3,45160,1677204.246
268.4786619,"73,093.486",6,2,41796,1439714.281
190.9738175,"51,992.743",7,3,21760,1012262.712
244.2016266,"66,484.048",5,3,51712,1511743.129
298.189033,"81,182.154",5,4,34141,1131154.518
290.5555866,"79,103.943",4,4,25768,764860.4627
275.7395305,"75,070.263",7,2,44683,1681316.362
164.1449381,"44,688.564",5,3,25121,291724.2456
270.8025991,"73,726.180",4,3,28667,1013252.209
235.2207319,"64,038.994",4,4,54131,1194709.628
256.7359261,"69,896.519",6,4,38181,1463003.056
270.7925917,"73,723.455",7,7,24723,1453327.916
293.834432,"79,996.611",6,3,28068,1291506.386
226.0377007,"61,538.908",7,6,51154,1625508.013
172.8739884,"47,065.053",6,5,24126,566896.2123
302.5945134,"82,381.549",5,4,36655,1468513.244
296.9963399,"80,857.442",5,3,44385,1573105.981
223.6680323,"60,893.764",4,5,49077,968360.5234
243.7315149,"66,356.060",7,3,38023,1309985.887
288.1108767,"78,438.369",7,4,35220,1361219.3
224.8500774,"61,215.577",7,6,36495,1465120.47
238.4125935,"64,907.980",7,5,46677,1571464.965
293.8787177,"80,008.668",5,5,45890,1629098.182
262.0978366,"71,356.303",5,5,36998,1182335.68
266.0515376,"72,432.700",6,3,35039,1010813.709
247.1416626,"67,284.475",5,3,24943,924728.5374
230.1301968,"62,653.092",7,3,41468,1382110.278
234.9622006,"63,968.609",6,3,27405,1366727.663
272.6676672,"74,233.946",6,4,32876,1297849.764
219.3906815,"59,729.253",8,6,31202,1196687.687
298.0048291,"81,132.004",6,4,32312,1281113.315
251.6093891,"68,500.816",6,5,51747,1530729.578
202.2045159,"55,050.308",7,6,29424,1208664.863
282.2416106,"76,840.458",6,5,29860,1417275.667
232.979865,"63,428.916",5,6,42997,1195601.962
332.7539318,"90,592.470",8,5,37224,2469065.594
208.2089329,"56,685.014",7,3,43322,1223100.542
254.2904976,"69,230.750",6,2,43072,1220276.551
253.1367961,"68,916.654",7,3,42745,1311765.141
222.2549246,"60,509.045",7,6,28410,1198313.598
314.8544181,"85,719.316",5,3,32058,1187609.122
228.2236066,"62,134.022",7,2,32157,1399662.584
269.7337139,"73,435.175",6,4,36240,1597776.771
204.270461,"55,612.763",8,4,42259,1355022.283
260.3479989,"70,879.908",7,5,22432,1137059.188
247.7916937,"67,461.446",5,3,34573,1053815.097
310.154852,"84,439.856",4,4,19835,1242421.532
249.0437123,"67,802.309",6,3,36130,1222041.016
230.2483904,"62,685.271",6,2,42019,1025461.134
262.2306964,"71,392.474",4,4,36010,859427.9793
216.8976908,"59,050.534",6,5,37741,1279803.95
322.849072,"87,895.865",8,4,23876,1671669.452
258.131279,"70,276.405",7,3,26630,1525601.791
266.8139369,"72,640.264",4,4,31471,998773.9973
231.0155382,"62,894.127",7,4,20317,1012321.574
186.7617604,"50,846.008",5,3,45357,1252419.196
289.0288681,"78,688.293",6,6,47812,1869313.107
280.6129096,"76,397.043",8,3,45281,1800685.922
228.3286791,"62,162.628",6,6,47747,1393100.423
275.8148014,"75,090.755",6,4,39457,1166558.374
227.0020972,"61,801.465",5,5,36327,988175.0074
284.4064372,"77,429.833",7,4,30108,1540480.613
273.2357298,"74,388.601",4,3,33763,866142.1839
229.8123653,"62,566.563",5,2,29366,557362.2043
253.0566909,"68,894.845",6,4,28852,1033290.975
252.4819269,"68,738.365",4,3,47445,1084945.4
272.8284531,"74,277.720",7,3,50234,1365081.178
298.5517746,"81,280.911",6,4,34933,1239459.815
317.0070284,"86,305.365",8,4,37854,2056692.768
217.8221892,"59,302.230",7,3,25297,1045395.329
298.9349236,"81,385.223",6,2,47897,1679204.741
235.5001431,"64,115.064",6,5,34312,1158742.83
332.1828131,"90,436.982",7,6,13340,1647278.685
278.9369567,"75,940.764",6,5,49975,1702090.635
257.4933427,"70,102.726",7,3,28281,1379386.383
256.9359011,"69,950.963",5,4,23734,1358526.741
241.4552537,"65,736.346",6,3,32964,991398.8219
197.703902,"53,825.013",6,4,27373,957117.6472
318.1828446,"86,625.482",7,3,42759,1638969.269
254.8247217,"69,376.193",5,2,18226,714142.2407
251.3236486,"68,423.023",6,2,13346,760876.0222
252.4178554,"68,720.922",5,2,45887,1343537.178
257.1375208,"70,005.854",5,2,40325,1056993.649
244.6812617,"66,614.629",6,5,16654,1088222.421
216.6320822,"58,978.222",7,3,44072,1308983.632
237.055722,"64,538.571",6,3,36678,1548322.501
279.1842154,"76,008.080",5,4,39843,1411749.107
319.9960254,"87,119.121",7,4,34672,1601904.357
230.8546157,"62,850.316",6,4,37764,1277297.483
243.5075345,"66,295.081",6,3,28112,1061552.022
232.0870127,"63,185.837",7,3,40081,1115013.147
272.7493177,"74,256.175",4,3,34684,1020842.531
263.2438295,"71,668.300",8,4,31352,1440961.857
200.095906,"54,476.238",6,2,33534,817377.311
313.2469712,"85,281.687",7,2,22888,1381536.934
264.9684808,"72,137.837",5,3,38259,1273067.036
242.8370321,"66,112.536",8,6,20795,1376714.674
246.2700619,"67,047.181",6,2,37937,1293746.876
328.2227998,"89,358.866",6,3,34064,1750908.224
184.3490304,"50,189.141",7,3,35044,555811.4067
268.5750214,"73,119.720",7,5,35427,1578829.012
249.6693159,"67,972.630",5,3,27865,911202.1683
263.5057651,"71,739.612",7,5,37031,1628751.935
247.1715212,"67,292.604",6,2,41838,1245400.955
258.0101781,"70,243.435",6,2,24648,993725.2172
287.5090672,"78,274.526",5,4,56300,1816099.138
